iter	Logloss
0	0.6490739719
1	0.6155421611
2	0.5901983679
3	0.5675690297
4	0.550801333
5	0.5360294762
6	0.5248807301
7	0.5147156699
8	0.5052781789
9	0.4973032127
10	0.489961449
11	0.4846729055
12	0.4796037203
13	0.4758222976
14	0.4726776776
15	0.4685314345
16	0.4656061595
17	0.462314632
18	0.4536805881
19	0.4499695906
20	0.4469554082
21	0.4441515072
22	0.4380593152
23	0.436441047
24	0.4299862092
25	0.4281226507
26	0.4265590234
27	0.4245057528
28	0.4223999479
29	0.4179014213
30	0.4163700283
31	0.4150443356
32	0.4106813293
33	0.4084511832
34	0.4056609884
35	0.4043193822
36	0.4017607364
37	0.3977975375
38	0.3969604282
39	0.3954435342
40	0.3931762354
41	0.3916052984
42	0.3898962768
43	0.3886314418
44	0.3877452736
45	0.3857658049
46	0.3848816842
47	0.3840074463
48	0.3831596068
49	0.3821801756
50	0.3815386999
51	0.3795560077
52	0.3782336392
53	0.3776421005
54	0.3773237747
55	0.3764872436
56	0.3756677516
57	0.3750838314
58	0.3746267268
59	0.3741708442
60	0.37365309
61	0.3731470207
62	0.3726175486
63	0.3722388731
64	0.3716140401
65	0.3703956976
66	0.3696838843
67	0.368790067
68	0.3685138431
69	0.367855891
70	0.3671714244
71	0.3665202827
72	0.3660920446
73	0.3656798208
74	0.3644151896
75	0.3641444205
76	0.3636424484
77	0.3633721129
78	0.3627409251
79	0.3622437903
80	0.3619443541
81	0.3615065136
82	0.3610779317
83	0.3604893734
84	0.360200063
85	0.3597757053
86	0.358901441
87	0.3584952918
88	0.3579481565
89	0.3577382496
90	0.3573218739
91	0.3568328306
92	0.3565415843
93	0.3562029172
94	0.355556834
95	0.3553552441
96	0.3549949173
97	0.3546766901
98	0.3543256963
99	0.3540748395
100	0.3537481704
101	0.3532741253
102	0.3530556386
103	0.3526591444
104	0.3524663336
105	0.352212746
106	0.3519086893
107	0.3515665227
108	0.3512704479
109	0.3510419208
110	0.3507031289
111	0.3504164879
112	0.3501768386
113	0.3500409504
114	0.3498814667
115	0.3493849561
116	0.3491339963
117	0.3488399733
118	0.3484164368
119	0.3482257085
120	0.347971856
121	0.3477399127
122	0.3474990131
123	0.3472398721
124	0.3470695158
125	0.346942133
126	0.3467657218
127	0.3466822036
128	0.3465685598
129	0.3460816582
130	0.3459560951
131	0.3457700661
132	0.3456548391
133	0.3454572982
134	0.3451066636
135	0.3449247275
136	0.3446827986
137	0.3443412277
138	0.3441258331
139	0.3438465521
140	0.3436397001
141	0.3433619651
142	0.3431473654
143	0.3429261042
144	0.3426238606
145	0.3424963157
146	0.3422964383
147	0.3420577109
148	0.3418013904
149	0.3414624517
150	0.3413416362
151	0.3411265109
152	0.3409403966
153	0.3406576076
154	0.3405741857
155	0.3404093019
156	0.3403337328
157	0.340281792
158	0.3401572472
159	0.3400214619
160	0.3397827586
161	0.3397288426
162	0.3395428575
163	0.3393882594
164	0.3390110664
165	0.3389283278
166	0.3387588759
167	0.3385026605
168	0.3383301977
169	0.338224411
170	0.3379066743
171	0.3377592041
172	0.3376176727
173	0.3373358406
174	0.337257959
175	0.3370622094
176	0.3368881852
177	0.3368526376
178	0.3367315833
179	0.3365156018
180	0.3363743244
181	0.3361908467
182	0.336024338
183	0.335735897
184	0.3355733957
185	0.3353162102
186	0.3351361836
187	0.335070609
188	0.3346626225
189	0.3345900184
190	0.3343427397
191	0.3341800414
192	0.333956229
193	0.3337663482
194	0.333633701
195	0.3334400383
196	0.3332042563
197	0.3331203899
198	0.3328833618
199	0.3328061963
200	0.332685383
201	0.3325565548
202	0.3322946262
203	0.3321645717
204	0.331974069
205	0.3317900963
206	0.3316213102
207	0.3314634776
208	0.3314270322
209	0.3313351991
210	0.3311746928
211	0.3310581978
212	0.3309203694
213	0.3308048248
214	0.330702001
215	0.3305225569
216	0.3303941689
217	0.3303210043
218	0.3301071995
219	0.3299791553
220	0.3298703751
221	0.3297034613
222	0.3295714842
223	0.3293569742
224	0.3292545446
225	0.3291611633
226	0.3291230295
227	0.3288135923
228	0.3287018427
229	0.3285300302
230	0.32825761
231	0.3281231605
232	0.3280657539
233	0.3279925082
234	0.3279001737
235	0.3278050187
236	0.3275731565
237	0.3274847287
238	0.3274222351
239	0.3272991356
240	0.3271796865
241	0.3271063006
242	0.3270182823
243	0.3268928199
244	0.3268272299
245	0.3266378462
246	0.3265820469
247	0.3264402265
248	0.3261784292
249	0.3261161984
250	0.3259986107
251	0.3258733279
252	0.3257249795
253	0.3256672116
254	0.3256108364
255	0.3254405984
256	0.3253100688
257	0.3251459579
258	0.3250801292
259	0.3248491451
260	0.3247393533
261	0.3245343056
262	0.3244744508
263	0.3243326062
264	0.3242551429
265	0.3241015017
266	0.3240178565
267	0.323932974
268	0.3238641846
269	0.3237581768
270	0.3237310666
271	0.3236513915
272	0.3235815335
273	0.3234512863
274	0.3233280751
275	0.3230784906
276	0.3229430973
277	0.322794392
278	0.322750639
279	0.3226228379
280	0.3225408985
281	0.3225004106
282	0.3223695919
283	0.3222296591
284	0.3221672838
285	0.3220276597
286	0.3218192419
287	0.3217618682
288	0.3216638664
289	0.3215522284
290	0.3214876326
291	0.3214304538
292	0.3213825576
293	0.3213458691
294	0.3212524594
295	0.321203799
296	0.3211342629
297	0.3210907705
298	0.3210179409
299	0.3209217961
300	0.3208360573
301	0.3207709272
302	0.3206998122
303	0.3206148027
304	0.3205384628
305	0.3204886243
306	0.3203971635
307	0.3203426541
308	0.3201612413
309	0.3200845401
310	0.3199935239
311	0.3198454799
312	0.3196737944
313	0.3195166013
314	0.3194060539
315	0.3192686263
316	0.3191792721
317	0.3190206885
318	0.3189238714
319	0.3187826378
320	0.3187167499
321	0.3186141823
322	0.3185378314
323	0.3184607842
324	0.3183947518
325	0.318287695
326	0.3181939196
327	0.3179831915
328	0.3178978251
329	0.3178232173
330	0.3177233301
331	0.3176451791
332	0.3175101362
333	0.3172846815
334	0.3171939697
335	0.3171373383
336	0.3170724534
337	0.3170086503
338	0.3169493057
339	0.316803988
340	0.3166307565
341	0.316489904
342	0.316383491
343	0.3162714589
344	0.3162172123
345	0.3160297972
346	0.3158362703
347	0.31578655
348	0.3157398189
349	0.3156046555
350	0.3154839232
351	0.3153698217
352	0.3153115698
353	0.3151847848
354	0.3151330389
355	0.3149837161
356	0.3149219736
357	0.3148544894
358	0.314817306
359	0.3147236378
360	0.3146552229
361	0.314624274
362	0.314430666
363	0.3143000532
364	0.3141465236
365	0.3140748765
366	0.3140031769
367	0.3139062152
368	0.3138745436
369	0.3138220554
370	0.3137798944
371	0.3136914228
372	0.313542827
373	0.3134920928
374	0.3133699503
375	0.3132970352
376	0.3131249446
377	0.3130648358
378	0.312981011
379	0.3129413552
380	0.312811557
381	0.3127374507
382	0.3126598231
383	0.3125438646
384	0.3124913239
385	0.3124436182
386	0.3123962083
387	0.3123013861
388	0.3122244177
389	0.3121212917
390	0.3120401122
391	0.3119050474
392	0.3117878823
393	0.3117119584
394	0.3116832562
395	0.3115230849
396	0.3114493641
397	0.311400281
398	0.3112224421
399	0.3111753562
400	0.3109972239
401	0.3108449776
402	0.3107000038
403	0.3105624382
404	0.3104713825
405	0.3103669514
406	0.3101671484
407	0.3100805534
408	0.3099774997
409	0.309818097
410	0.3097694717
411	0.3096410158
412	0.3095896729
413	0.3094262146
414	0.3092839562
415	0.3092339666
416	0.3090651804
417	0.3089761548
418	0.3088524136
419	0.3087466182
420	0.3086704315
421	0.308526003
422	0.3084148293
423	0.3082451278
424	0.3081468676
425	0.3080607304
426	0.3079937345
427	0.3079441806
428	0.3078582755
429	0.3077734609
430	0.3076924873
431	0.3075750944
432	0.3075065175
433	0.3073479141
434	0.3072605702
435	0.3071106561
436	0.3070297723
437	0.306934153
438	0.3067545995
439	0.3066250158
440	0.3065156488
441	0.3063667464
442	0.3062956489
443	0.3061981814
444	0.3060901677
445	0.3059609892
446	0.3058993846
447	0.3058428168
448	0.3057795107
449	0.3056685736
450	0.3055970447
451	0.3055676177
452	0.30548549
453	0.3053847334
454	0.3053257676
455	0.3052439049
456	0.305160667
457	0.3051002078
458	0.305037182
459	0.3049294924
460	0.3048662148
